# CP-F1,   ALPHA= 30 DEG.,  RE= 43 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
100300  45.4  1  0.0000  0.1205
100300  45.4  2  0.0006  0.4105
100300  45.4  3  0.0022  0.5534
100300  45.4  4  0.0046  0.5508
100300  45.4  5  0.0074  0.5172
100300  45.4  6  0.0105  0.4537
100300  45.4  7  0.0137  0.4246
100300  45.4  8  0.0172  0.3885
100300  45.4  9  0.0208  0.3302
100300  45.4 10  0.0282  0.2764
100300  45.4 11  0.0358  0.2300
100300  45.6 12  0.0435  0.1879
100300  45.5 13  0.0555  0.1217
100300  45.5 14  0.0674  0.0773
100300  45.4 15  0.0876  0.0313
100300  45.4 16  0.1079  0.0043
100300  45.4 17  0.1284 -0.0254
100300  45.4 18  0.1489 -0.0743
100300  45.4 19  0.1901 -0.0963
100300  45.4 20  0.2315 -0.1389
100300  45.4 21  0.2728 -0.1823
100300  45.4 22  0.3145 -0.1841
100300  45.4 23  0.3561 -0.2076
100300  45.4 24  0.3978 -0.2268
100300  45.4 25  0.4394 -0.2612
100300  45.4 26  0.4811 -0.2939
100300  45.4 27  0.5228 -0.2838
100300  45.4 28  0.5644 -0.2913
100300  45.4 29  0.6061 -0.2851
100300  45.4 30  0.6478 -0.3020
100300  45.4 31  0.6894 -0.3047
100300  45.4 32  0.7309 -0.3229
100300  45.4 33  0.7725 -0.3700
100300  45.4 34  0.8139 -0.3260
100300  45.4 35  0.8346 -0.3389
100300  45.4 36  0.8552 -0.3382
100300  45.4 37  0.8758 -0.3375
100300  45.4 38  0.9166 -0.2859
100300  45.4 39  0.9365 -0.2527
100300  45.4 40  0.9544 -0.1628
100300  45.4 41  0.9717  0.0285
100301  50.4  1  0.0000  0.1229
100301  50.4  2  0.0006  0.3773
100301  50.4  3  0.0022  0.4906
100301  50.4  4  0.0046  0.4669
100301  50.3  5  0.0074  0.4200
100301  50.3  6  0.0105  0.3546
100301  50.4  7  0.0137  0.3172
100301  50.4  8  0.0172  0.2800
100301  50.4  9  0.0208  0.2208
100301  50.4 10  0.0282  0.1641
100301  50.4 11  0.0358  0.1151
100301  50.4 12  0.0435  0.0791
100301  50.4 13  0.0555  0.0140
