# CP-NWG,  ALPHA= 10 DEG., RE= 7.7 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
410209  19.2 34  0.8139 -0.0927
410209  19.2 35  0.8346 -0.0956
410209  19.2 36  0.8552 -0.0885
410209  19.2 37  0.8758 -0.0849
410209  19.2 38  0.8962 -0.0813
410209  19.2 39  0.9166 -0.0658
410209  19.2 40  0.9365 -0.0327
410209  19.2 41  0.9544  0.0422
410209  19.2 42  0.9717  0.2096
410210  24.0  1  0.0000  0.9012
410210  24.0  2  0.0006  0.9840
410210  24.0  3  0.0022  0.9359
410210  24.0  4  0.0046  0.8319
410210  24.0  5  0.0074  0.7246
410210  24.0  6  0.0105  0.6156
410210  24.0  7  0.0137  0.5572
410210  24.0  8  0.0172  0.4943
410210  24.0  9  0.0208  0.4482
410210  24.0 10  0.0282  0.3728
410210  24.0 11  0.0358  0.3151
410210  24.0 12  0.0435  0.2695
410210  24.0 13  0.0555  0.2150
410210  24.0 14  0.0674  0.1712
410210  24.0 15  0.0876  0.1483
410210  24.0 16  0.1079  0.1168
410210  24.0 17  0.1284  0.0914
410210  24.0 18  0.1489  0.0690
410210  24.0 19  0.1901  0.0488
410210  24.0 20  0.2315  0.0287
410210  24.0 21  0.2728  0.0117
410210  24.0 22  0.3145 -0.0073
410210  24.0 23  0.3561 -0.0181
410210  24.0 24  0.3978 -0.0284
410210  24.0 25  0.4394 -0.0375
410210  24.0 26  0.4811 -0.0496
410210  24.0 27  0.5228 -0.0591
410210  24.0 28  0.5644 -0.0690
410210  24.0 29  0.6061 -0.0723
410210  24.0 30  0.6478 -0.0775
410210  24.0 31  0.6894 -0.0897
410210  24.0 32  0.7309 -0.0892
410210  24.0 33  0.7725 -0.0924
410210  24.0 34  0.8139 -0.0963
410210  24.0 35  0.8346 -0.0998
410210  24.0 36  0.8552 -0.0916
410210  24.0 37  0.8758 -0.0877
410210  24.0 38  0.8962 -0.0839
410210  24.0 39  0.9166 -0.0650
410210  24.0 40  0.9365 -0.0307
410210  24.0 41  0.9544  0.0428
410210  24.0 42  0.9717  0.2098
410211  28.8  1  0.0000  0.8993
410211  28.8  2  0.0006  0.9776
410211  28.8  3  0.0022  0.9242
410211  28.8  4  0.0046  0.8156
410211  28.8  5  0.0074  0.7080
410211  28.8  6  0.0105  0.6004
410211  28.8  7  0.0137  0.5382
410211  28.8  8  0.0172  0.4783
410211  28.8  9  0.0208  0.4295
410211  28.8 10  0.0282  0.3570
410211  28.8 11  0.0358  0.2982
410211  28.8 12  0.0435  0.2570
410211  28.8 13  0.0555  0.2039
410211  28.8 14  0.0674  0.1586
410211  28.8 15  0.0876  0.1370
410211  28.8 16  0.1079  0.1041
410211  28.8 17  0.1284  0.0798
410211  28.8 18  0.1489  0.0598
410211  28.8 19  0.1901  0.0393
410211  28.8 20  0.2315  0.0216
410211  28.8 21  0.2728  0.0042
410211  28.8 22  0.3145 -0.0171
410211  28.8 23  0.3561 -0.0268
410211  28.8 24  0.3978 -0.0349
410211  28.8 25  0.4394 -0.0445
410211  28.8 26  0.4811 -0.0550
410211  28.8 27  0.5228 -0.0650
410211  28.8 28  0.5644 -0.0746
410211  28.8 29  0.6061 -0.0787
410211  28.8 30  0.6478 -0.0834
410211  28.8 31  0.6894 -0.0942
410211  28.8 32  0.7309 -0.0942
410211  28.8 33  0.7725 -0.0969
410211  28.8 34  0.8139 -0.0990
410211  28.8 35  0.8346 -0.1025
410211  28.8 36  0.8552 -0.0962
410211  28.8 37  0.8758 -0.0906
410211  28.8 38  0.8962 -0.0850
410211  28.8 39  0.9166 -0.0631
410211  28.8 40  0.9365 -0.0293
410211  28.8 41  0.9544  0.0482
410211  28.8 42  0.9717  0.2081
410212  33.6  1  0.0000  0.8999
410212  33.6  2  0.0006  0.9695
410212  33.6  3  0.0022  0.9126
410212  33.6  4  0.0046  0.8011
410212  33.6  5  0.0074  0.6911
410212  33.6  6  0.0105  0.5855
410212  33.6  7  0.0137  0.5200
410212  33.6  8  0.0172  0.4617
410212  33.6  9  0.0208  0.4181
410212  33.6 10  0.0282  0.3362
410212  33.6 11  0.0358  0.2845
410212  33.6 12  0.0435  0.2423
410212  33.6 13  0.0555  0.1891
410212  33.6 14  0.0674  0.1441
410212  33.6 15  0.0876  0.1230
410212  33.6 16  0.1079  0.0925
410212  33.6 17  0.1284  0.0669
410212  33.6 18  0.1489  0.0486
410212  33.6 19  0.1901  0.0259
410212  33.6 20  0.2315  0.0102
410212  33.6 21  0.2728 -0.0063
410212  33.6 22  0.3145 -0.0283
410212  33.6 23  0.3561 -0.0354
410212  33.6 24  0.3978 -0.0443
410212  33.6 25  0.4394 -0.0542
410212  33.6 26  0.4811 -0.0637
410212  33.6 27  0.5228 -0.0750
